,Natural gas balance of trade (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
South Korea,3.0,3.6,4.5,5.8,7.7,9.2,12.5,15.2,13.8,16.9,19.0,21.1,23.3,25.4,28.9,29.1,33.0,33.4,37.2,33.7,43.8,46.7,47.8,53.2,49.1,43.4,44.2,48.7,55.4,53.8,52.8,,,
Taiwan,0.9,2.1,2.2,2.3,2.9,3.3,3.4,4.2,5.1,5.2,5.8,6.2,7.0,7.3,9.1,8.5,9.2,9.9,10.8,10.5,13.2,14.5,15.2,15.2,16.1,17.2,17.9,20.0,20.2,20.0,21.5,,,
Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,6.5,7.5,8.1,8.8,9.5,9.8,10.2,10.1,9.6,10.5,11.2,11.5,12.1,11.3,15.3,14.9,15.8,16.2,16.4,16.7,,,
Pacific,-2.8,-4.8,-5.7,-6.6,-7.7,-9.2,-9.8,-9.6,-9.9,-10.1,-10.3,-9.7,-9.8,-10.6,-10.8,-14.4,-15.4,-15.0,-14.4,-14.6,-18.4,-20.4,-19.6,-25.1,-29.0,-37.0,-54.1,-76.2,-87.4,-112.8,-124.7,,,
Australia,-2.8,-4.8,-5.7,-6.6,-7.7,-9.2,-9.8,-9.6,-9.9,-10.1,-10.3,-9.7,-9.8,-10.6,-10.8,-14.4,-15.4,-15.0,-14.4,-14.6,-18.4,-20.4,-19.6,-25.1,-24.3,-27.3,-43.7,-65.2,-77.9,-101.5,-112.3,,,
New Zealand,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
Africa,-31.6,-35.1,-36.7,-36.1,-31.9,-37.3,-41.2,-49.5,-53.4,-61.6,-67.6,-66.2,-66.7,-72.6,-78.1,-99.3,-103.7,-108.5,-111.7,-98.8,-101.2,-86.3,-88.8,-76.2,-75.1,-69.2,-74.6,-83.3,-87.7,-86.8,-74.1,,,
Algeria,-31.4,-34.2,-36.0,-35.6,-32.1,-37.9,-41.5,-49.2,-53.3,-60.9,-62.3,-57.2,-58.5,-61.0,-60.4,-64.8,-62.1,-60.3,-60.3,-55.2,-57.2,-52.7,-52.3,-47.4,-44.6,-43.5,-54.0,-54.0,-51.4,-42.8,-40.0,,,
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7,-15.5,-16.6,-16.6,-17.7,-18.3,-13.0,-8.6,-6.2,-2.1,-0.3,6.7,8.2,7.0,1.1,-4.7,0.7,,,
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5.4,-8.7,-7.8,-11.3,-13.1,-13.2,-16.7,-23.5,-23.5,-14.8,-21.7,-23.4,-25.8,-21.9,-24.9,-26.3,-23.8,-27.8,-27.3,-28.1,-28.4,,,
